German,English,Swedish
wie,as,Hur
ich,I,jag
seine,his,hans
dass,that,att
er,he,han
war,was,var
für,for,för
auf,on,på
sind,are,är
mit,with,med
sie,they,hon
sein,be,vara
bei,at,på
ein,one,en
haben,have,ha
dies,this,detta
aus,from,ut ur
durch,by,genom
heiß,hot,varm
Wort,word,Ord
aber,but,men
was,what,Vad
einige,some,några
ist,is,är
es,it,det
Sie,you,Du
oder,or,eller
hatte,had,hade
die,the,de
von,of,från
zu,to,till
und,and,och
ein,a,en
bei,in,på
wir,we,vi
können,can,burk
aus,out,ut ur
andere,other,andra
waren,were,var
die,which,de
tun,do,göra
ihre,their,hennes
Zeit,time,Tid
wenn,if,om
werden,will,bli
wie,how,Hur
sagte,said,sa
ein,an,en
jeder,each,alla
sagen,tell,säga
tut,does,gör
Satz,set,Döma
drei,three,tre
wollen,want,brist
Luft,air,Luft
gut,well,bra
auch,also,också
spielen,play,spela
klein,small,små
Ende,end,Avsluta
setzen,put,uppsättning
Zuhause,home,Hemma
lesen,read,läsa
seits,hand,på sidan
Hafen,port,Hamn
groß,large,stor
buchstabieren,spell,stava
hinzufügen,add,tillägga
auch,even,också
Lande,land,Landa
hier,here,här
muss,must,måste
groß,big,stor
hoch,high,hög
so,such,så
folgen,follow,konsekvenser
Akt,act,agera
warum,why,Varför
fragen,ask,frågor
Männer,men,Män
Veränderung,change,ändra
ging,went,gick
Licht,light,Ljus
Art,kind,Konst
aus,off,ut ur
müssen,need,måste
Haus,house,Hus
Bild,picture,Bild
versuchen,try,försök
uns,us,oss
wieder,again,igen
Tier,animal,djur
Punkt,point,Punkt
Mutter,mother,Mor
Welt,world,Värld
in der Nähe von,near,nära
bauen,build,bygga
selbst,self,själv
Erde,earth,Jorden
Vater,father,Far
jeder,any,alla
neu,new,ny
Arbeit,work,Arbete
Teil,part,Del
nehmen,take,ta
erhalten,get,få
Ort,place,Plats
gemacht,made,gjord
leben,live,liv
wo,where,där
nach,after,efter
zurück,back,tillbaka
wenig,little,få
nur,only,endast
Runde,round,runda
Mann,man,Man
Jahr,year,År
kam,came,kom
zeigen,show,visa
jeder,every,alla
gut,good,bra
mir,me,mig
geben,give,ge
unsere,our,vår
unter,under,under
Name,name,namn
sehr,very,mycket
durch,through,genom
nur,just,endast
Formular,form,Form
Satz,sentence,Döma
groß,great,stor
denken,think,tänka
sagen,say,säga
Hilfe,help,Hjälp
niedrig,low,låg
Linie,line,linje
abweichen,differ,skilja sig
wiederum,turn,igen
Ursache,cause,Orsakat
viel,much,mycket
bedeuten,mean,betyda
vor,before,före
Umzug,move,Omlokalisering
Recht,right,Rätt
Junge,boy,Pojke
alt,old,gammal
zu,too,till
gleich,same,även
sie,she,hon
alle,all,alla
da,there,det
wenn,when,om
nach oben,up,upp
Verwendung,use,använda
Ihre,your,Hennes
Weg,way,Bort
über,about,ovan
viele,many,många
dann,then,sedan
sie,them,hon
schreiben,write,skriva
würde,would,skulle
wie,like,Hur
so,so,så
diese,these,detta
sie,her,hon
lange,long,lång
machen,make,göra
Sache,thing,Materia
sehen,see,se
ihm,him,honom
zwei,two,två
hat,has,har
suchen,look,söka
mehr,more,mer
Tag,day,dag
könnte,could,kunde
gehen,go,gå
kommen,come,komma
tat,did,gjorde
Anzahl,number,Antal
klingen,sound,ljud
nicht,no,inte
am meisten,most,mest
Menschen,people,Personer
meine,my,mina
über,over,ovan
wissen,know,kunskap
Wasser,water,Vatten
als,than,som
Anruf,call,Samtal
erste,first,första
die,who,de
können,may,burk
nach unten,down,nedåt
Seite,side,Sida
gewesen,been,varit
jetzt,now,nu
finden,find,hitta
Kopf,head,Huvud
stehen,stand,stå
besitzen,own,egen
Seite,page,Sida
sollte,should,skall
Land,country,land
gefunden,found,hittade
Antwort,answer,Svar
Schule,school,Skola
wachsen,grow,växa
Studie,study,studera
noch,still,fortfarande
lernen,learn,lära sig
Anlage,plant,Fastsättning
Abdeckung,cover,täcka
Lebensmittel,food,Specerier
Sonne,sun,Sol
vier,four,fyra
zwischen,between,mellan
Zustand,state,Skick
halten,keep,hålla
Auge,eye,Öga
nie,never,aldrig
letzte,last,sista
lassen,let,låta
Gedanken,thought,Tankar
Stadt,city,Stad
Baum,tree,Träd
überqueren,cross,gå över
Bauernhof,farm,Gårdsgård
schwer,hard,svår
Beginn,start,början
Macht,might,Driva
Geschichte,story,Berättelse
Säge,saw,såg
weit,far,långt
Meer,sea,hav
ziehen,draw,dra
links,left,vänster
spät,late,sent
laufen,run,sikt
unterlassen Sie,don’t,inte
während,while,medan
Presse,press,trycka
Schließen,close,Nära
Nacht,night,Natt
realen,real,verklig
Leben,life,Liv
wenige,few,få
Norden,north,norr
Buch,book,Boka
tragen,carry,bära
nahm,took,tog
Wissenschaft,science,Vetenskap
essen,eat,äta
Zimmer,room,Rum
Freund,friend,Vän
begann,began,började
Idee,idea,aning
Fisch,fish,Fisk
berg,mountain,fjäll
Stopp,stop,stopp
einmal,once,en gång
Basis,base,bas
hören,hear,höra
Pferd,horse,Häst
Schnitt,cut,skära
sicher,sure,säkra
beobachten,watch,observera
Farbe,color,Färg
Gesicht,face,Ansikte
Holz,wood,Trä
Haupt-,main,Huvud-
geöffnet,open,öppna
scheinen,seem,verka
zusammen,together,tillsammans
nächste,next,nästa
weiß,white,vit
Kinder,children,Barn
Start,begin,start
bekam,got,fick
gehen,walk,gå
Beispiel,example,Exempel
erleichtern,ease,främja
Papier,paper,Papper
Gruppe,group,grupp
immer,always,alltid
Musik,music,Musik
diejenigen,those,dessa
beide,both,både
Marke,mark,stämpla
oft,often,ofta
Schreiben,letter,Skriva
bis,until,tills
Meile,mile,mile
Fluss,river,Flöde
Auto,car,bil
Füße,feet,Fötter
Pflege,care,Vård
zweite,second,andra
genug,enough,tillräckligt
Ebene,plain,nivå
Mädchen,girl,Flicka
üblich,usual,vanliga
jung,young,ung
bereit,ready,redo
oben,above,ovan
je,ever,någonsin
rot,red,röd
Liste,list,lista
obwohl,though,även om
fühlen,feel,känsla
Vortrag,talk,Tal
Vogel,bird,Fågel
bald,soon,snart
Körper,body,Kropp
Hund,dog,Hund
Familie,family,Familj
direkt,direct,direkt
Pose,pose,pose
verlassen,leave,lämna
Lied,song,låt
messen,measure,mäta
Tür,door,dörr
Produkt,product,produkt
schwarz,black,svart
kurz,short,kort
Zahl,numeral,Antal
Klasse,class,Klass
Wind,wind,vind
Frage,question,Be
passieren,happen,hända
vollständig,complete,komplett
Schiff,ship,Fartyg
Bereich,area,Område
Hälfte,half,halv
Stein,rock,Sten
bestellen,order,beställa
Feuer,fire,Brand
Süden,south,söderut
Problem,problem,problem
Stück,piece,Bit
sagte,told,sa
wusste,knew,visste
passieren,pass,hända
seit,since,sedan
obere,top,övre
ganze,whole,hela
König,king,kung
Straße,street,Gata
Zoll,inch,Tull
multiplizieren,multiply,multiplicera
nichts,nothing,ingenting
Kurs,course,Kurs
bleiben,stay,förbli
Rad,wheel,hjul
voll,full,full
Kraft,force,Driva
blau,blue,blå
Objekt,object,objekt
entscheiden,decide,besluta
Oberfläche,surface,yta
tief,deep,djup
Mond,moon,månen
Insel,island,Ö
Fuß,foot,Fot
System,system,system
beschäftigt,busy,upptagen
Prüfung,test,Testa
Rekord,record,spela in
Boot,boat,båt
gemeinsam,common,tillsammans
goldenen,gold,gyllene
möglich,possible,möjlig
Flugzeug,plane,Flygplan
statt,stead,i stället för
trocken,dry,torka
Wunder,wonder,Undra
Lachen,laugh,Skratta
tausend,thousand,tusen
vor,ago,före
lief,ran,sprang
überprüfen,check,kontrollera
Spiel,game,Spel
Form,shape,form
gleichsetzen,equate,likställa
heiß,hot,varm
Fehl,miss,Misslyckas
gebracht,brought,förde
Wärme,heat,värme
Schnee,snow,Snö
Reifen,tire,Däck
bringen,bring,föra
ja,yes,Ja
entfernt,distant,tas bort
füllen,fill,fylla
Osten,east,öster
malen,paint,måla
Sprache,language,Språk
unter,among,under
Einheit,unit,Enhet
Macht,power,Driva
Stadt,town,Stad
fein,fine,bra
sicher,certain,säkra
fliegen,fly,flyga
fallen,fall,falla
führen,lead,leda
Schrei,cry,Skrika
dunkel,dark,mörk
Maschine,machine,maskin
note,note,notera
warten,wait,vänta
Plan,plan,planera
Abbildung,figure,illustration
Stern,star,stjärna
Kasten,box,Spjällåda
Nomen,noun,substantiv
Feld,field,Fält
Rest,rest,vila
richtig,correct,rätta
fähig,able,kapabel
Pfund,pound,pund
getan,done,gjorde
Schönheit,beauty,skönhet
Antriebs,drive,köra
stand,stood,stod
enthalten,contain,innehålla
Front,front,främre
lehren,teach,lära
Woche,week,Vecka
Finale,final,slutlig
gab,gave,gav
grün,green,grön
oh,oh,Åh
schnell,quick,snabb
entwickeln,develop,utveckla
Ozean,ocean,hav
warme,warm,värme
kostenlos,free,gratis
Minute,minute,minut
stark,strong,stark
besondere,special,särskild
Geist,mind,Anda
hinter,behind,bakom
klar,clear,rensa
Schwanz,tail,svans
produzieren,produce,producera
Tatsache,fact,faktum
Raum,space,Utrymme
gehört,heard,hört
beste,best,bäst
Stunde,hour,Timme
besser,better,bättre
wahr,TRUE,sann
während,during,medan
hundert,hundred,hundra
fünf,five,fem
merken,remember,komma ihåg
Schritt,step,Steg
früh,early,tidigt
halten,hold,hålla
Westen,west,västerut
Boden,ground,Golv
Interesse,interest,intressera
erreichen,reach,att nå
schnell,fast,snabb
Verbum,verb,verb
singen,sing,sjunga
hören,listen,höra
sechs,six,sex
Tabelle,table,Tabell
Reise,travel,Resa
weniger,less,färre
Morgen,morning,Morgon
zehn,ten,tio
einfach,simple,helt enkelt
mehrere,several,flera
Vokal,vowel,Sång
auf,toward,på
Krieg,war,Krig
legen,lay,plats
gegen,against,mot
Muster,pattern,Mönster
schleppend,slow,dra
Zentrum,center,centrum
Liebe,love,Kärlek
Person,person,person
Geld,money,Pengar
dienen,serve,tjäna
erscheinen,appear,synas
Straße,road,Gata
Karte,map,Karta
regen,rain,regn
Regel,rule,Regel
regieren,govern,styra
ziehen,pull,dra
Kälte,cold,kall
Hinweis,notice,Varsel
Stimme,voice,Komma överens
Energie,energy,energi
Jagd,hunt,jakt
wahrscheinlich,probable,troligen
Bett,bed,Säng
Bruder,brother,Bror
Ei,egg,ägg
Fahrt,ride,Köra
Zelle,cell,cell
glauben,believe,tro
vielleicht,perhaps,kanske
pflücken,pick,plocka
plötzlich,sudden,plötsligt
zählen,count,att räkna
Platz,square,Plats
Grund,reason,Resonera
Dauer,length,Tidslängd
vertreten,represent,representera
Kunst,art,Konst
Thema,subject,Tema
Region,region,område
Größe,size,Storlek
variieren,vary,variera
regeln,settle,reglera
sprechen,speak,tala
Gewicht,weight,Vikt
allgemein,general,i allmänhet
Eis,ice,Is
Materie,matter,materia
Kreis,circle,Cirkel
Paar,pair,Par
umfassen,include,omfatta
Kluft,divide,gap
Silbe,syllable,stavelse
Filz,felt,filt
groß,grand,stor
Kugel,ball,Kula
noch,yet,fortfarande
Welle,wave,Våg
fallen,drop,falla
Herz,heart,Hjärta
Uhr,am,Klocka
vorhanden,present,tillgänglig
schwer,heavy,svår
Tanz,dance,dansa
Motor,engine,Motor
Position,position,placera
Arm,arm,ärm
breit,wide,bred
Segel,sail,segla
Material,material,material
Fraktion,fraction,fraktion
Wald,forest,Skog
sitzen,sit,sitta
Rennen,race,Sikt
Fenster,window,Fönster
Speicher,store,minne
Sommer,summer,Sommar
Zug,train,Tåg
Schlaf,sleep,Sova
beweisen,prove,bevisa
einsam,lone,ensam
Bein,leg,ben
Übung,exercise,Utöva
Wand,wall,Vägg
Fang,catch,Fånga
Berg,mount,Fjäll
wünschen,wish,önskan
Himmel,sky,Himmel
Board,board,styrelse
Freude,joy,Glädje
Winter,winter,vinter
sa,sat,satt
geschrieben,written,skriftlig
wilden,wild,vild
Instrument,instrument,instrument
gehalten,kept,hölls
Glas,glass,Glas
Gras,grass,gräs
Kuh,cow,Ko
Arbeit,job,Arbete
Rand,edge,kant
Zeichen,sign,Tecken
Besuch,visit,Besök
Vergangenheit,past,Förbi
weich,soft,mjuk
Spaß,fun,Gyckel
hell,bright,ljus
Gases,gas,gas
Wetter,weather,Väder
Monat,month,Månad
Million,million,miljon
tragen,bear,bära
Finish,finish,avsluta
glücklich,happy,glad
hoffen,hope,hoppas
blume,flower,blomma
kleiden,clothe,klä
seltsam,strange,konstig
Vorbei,gone,Över
Handel,trade,Handel
Melodie,melody,melodi
Reise,trip,Resa
Büro,office,Kontor
empfangen,receive,mottagen
Reihe,row,Rad
Mund,mouth,mun
genau,exact,Exakt
Zeichen,symbol,Tecken
sterben,die,dö
am wenigsten,least,det minsta
Ärger,trouble,Problem
Schrei,shout,Skrika
außer,except,utom
schrieb,wrote,skrev
Samen,seed,frön
Ton,tone,lera
beitreten,join,ansluta sig till
vorschlagen,suggest,föreslå
sauber,clean,rena
Pause,break,paus
Dame,lady,lady
Hof,yard,gård
steigen,rise,klättra
schlecht,bad,dålig
Schlag,blow,Blåsa
Öl,oil,olja
Blut,blood,blod
berühren,touch,röra
wuchs,grew,tillväxt
Cent,cent,cent
mischen,mix,blanda
Mannschaft,team,team
Draht,wire,tråd
Kosten,cost,Kosta
verloren,lost,förlorad
braun,brown,brun
tragen,wear,bära
Garten,garden,Trädgård
gleich,equal,även
gesendet,sent,skickas
wählen,choose,välja
fiel,fell,fälla
passen,fit,färdig
fließen,flow,flöde
Messe,fair,Rättvis
Bank,bank,bank
sammeln,collect,samla
sparen,save,spara
Kontrolle,control,kontrollera
dezimal,decimal,decimal
Ohr,ear,Öra
sonst,else,annat
ganz,quite,ganska
pleite,broke,pank
Fall,case,fall
Mitte,middle,centrum
töten,kill,döda
Sohn,son,Son
See,lake,sjö
Moment,moment,ögonblick
Maßstab,scale,skala
laut,loud,högt
Frühling,spring,Fjädra
beobachten,observe,observera
Kind,child,barn
gerade,straight,rakt
Konsonant,consonant,konsonant
Nation,nation,nation
Wörterbuch,dictionary,ordbok
milch,milk,mjölk
Geschwindigkeit,speed,hastighet
Verfahren,method,Förfaranden
Orgel,organ,organ
zahlen,pay,betala
Alter,age,Gammal
Abschnitt,section,Avsnitt
Kleid,dress,Klä
Wolke,cloud,Moln
Überraschung,surprise,Överraskning
ruhig,quiet,tyst
Stein,stone,Sten
winzig,tiny,mycket liten
Aufstieg,climb,Uppstigning
kühlen,cool,sval
Entwurf,design,Förslag
arm,poor,ärm
Menge,lot,Folkmassa
Versuch,experiment,Försök
Boden,bottom,Golv
Schlüssel,key,Nyckel
Eisen,iron,järn
Einzel,single,Singel
Stick,stick,stick
Wohnung,flat,Lägenhet
zwanzig,twenty,tjugo
Haut,skin,hud
Lächeln,smile,Leende
Falte,crease,vika
Loch,hole,Hål
springen,jump,hoppa
Kind,baby,barn
acht,eight,åtta
Dorf,village,By
treffen,meet,möta
Wurzel,root,rot
kaufen,buy,köpa
erhöhen,raise,öka
lösen,solve,lösa
Metall,metal,metall
ob,whether,om
drücken,push,trycka
sieben,seven,sju
Absatz,paragraph,Stycke
dritte,third,tredje
wird,shall,blir
Hand,held,hand
Haar,hair,hår
beschreiben,describe,beskriva
Koch,cook,Laga mat
Boden,floor,Golv
entweder,either,antingen
Ergebnis,result,Resultat
brennen,burn,bränna
Hügel,hill,kulle
sicher,safe,säkra
Katze,cat,Katt
Jahrhundert,century,århundrade
betrachten,consider,betrakta
Typ,type,typ
Gesetz,law,Lag
Bit,bit,bit
Küste,coast,kust
Kopie,copy,kopiera
Ausdruck,phrase,Uttryck
still,silent,tyst
hoch,tall,hög
Sand,sand,sand
Boden,soil,Golv
Rolle,roll,roll
Temperatur,temperature,temperatur
Finger,finger,finger
Industrie,industry,industri
Wert,value,Värde
Kampf,fight,Slåss
Lüge,lie,lögn
schlagen,beat,hit
begeistern,excite,inspirera
natürlich,natural,naturligtvis
Blick,view,Se
Sinn,sense,känsla
Hauptstadt,capital,Huvudstad
wird nicht,won’t,vana
Stuhl,chair,Stol
Achtung,danger,Fara
Obst,fruit,Frukt
reich,rich,rik
dick,thick,tjock
Soldat,soldier,soldat
Prozess,process,behandla
betreiben,operate,fungera
Praxis,practice,Öva
trennen,separate,separat
schwierig,difficult,svår
Arzt,doctor,Läkare
Bitte,please,Behaga
schützen,protect,skydda
Mittag,noon,Middag
Ernte,crop,skörda
modernen,modern,modern
Elementes,element,element
treffen,hit,möta
Schüler,student,Elever
Ecke,corner,Hörn
Partei,party,part
Versorgung,supply,förse
deren,whose,vars
lokalisieren,locate,lokalisera
Rings,ring,Ringar
Charakter,character,karaktär
insekt,insect,insekt
gefangen,caught,fångad
Zeit,period,Tid
zeigen,indicate,visa
Funk,radio,radio
Speiche,spoke,eker
Atom,atom,atom
Mensch,human,Person
Geschichte,history,Berättelse
Wirkung,effect,Effekt
elektrisch,electric,elektrisk
erwarten,expect,förvänta
Knochen,bone,Ben
Schiene,rail,järnväg
vorstellen,imagine,införa
bieten,provide,erbjuda
zustimmen,agree,komma överens
so,thus,så
sanft,gentle,mjuk
Frau,woman,Kvinna
Kapitän,captain,kapten
erraten,guess,gissning
erforderlich,necessary,nödvändig
scharf,sharp,skarp
Flügel,wing,vinge
schaffen,create,skapa
Nachbar,neighbor,Granne
Wasch,wash,Tvätta
Fledermaus,bat,slagträ
eher,rather,snarare
Menge,crowd,Folkmassa
mais,corn,majs
vergleichen,compare,jämföra
Gedicht,poem,dikt
Schnur,string,sladd
Glocke,bell,klocka
abhängen,depend,bero
Fleisch,meat,Kött
einreiben,rub,gnugga in
Rohr,tube,Rör
berühmt,famous,känd
Dollar,dollar,dollar
Strom,stream,Elektricitet
Angst,fear,Rädsla
Blick,sight,Se
dünn,thin,tunn
Dreieck,triangle,triangel
Erde,planet,Jorden
Eile,hurry,Skynda
Chef,chief,Chef
Kolonie,colony,koloni
Uhr,clock,Klocka
Mine,mine,mina
Krawatte,tie,Slips
eingeben,enter,input
Dur,major,Större
frisch,fresh,färsk
Suche,search,Söka
senden,send,skicka
gelb,yellow,gul
Pistole,gun,pistol
erlauben,allow,tillåta
Druck,print,Tryck
tot,dead,död
Stelle,spot,placera
Wüste,desert,Öken
Anzug,suit,Herrkostym
Strom,current,Elektricitet
Aufzug,lift,Hiss
stiegen,rose,ros
ankommen,arrive,anlända
Stamm,master,stam
Spur,track,spåra
Elternteil,parent,förälder
Ufer,shore,Riverbank
Teilung,division,division
Blatt,sheet,Ark
Substanz,substance,ämne
begünstigen,favor,förmån
verbinden,connect,ansluta
nach,post,efter
verbringen,spend,spendera
Akkord,chord,ackord
Fett,fat,Fett
froh,glad,glad
Original,original,Original
Aktie,share,dela
Station,station,station
Papa,dad,pappa
Brot,bread,Bröd
aufladen,charge,avgift
richtig,proper,rätta
Leiste,bar,bar
Angebot,offer,Erbjuda
Segment,segment,segment
Sklave,slave,slav
ente,duck,anka
Augenblick,instant,ögonblick
Markt,market,marknadsföra
Grad,degree,grad
besiedeln,populate,kolonisera
küken,chick,brud
liebe,dear,kärlek
Feind,enemy,Fiende
antworten,reply,svar
Getränk,drink,dryck
auftreten,occur,synas
Unterstützung,support,Stöd
Rede,speech,tal
Natur,nature,Natur
Angebot,range,Erbjuda
Dampf,steam,ånga
Bewegung,motion,Rörelse
Weg,path,Bort
Flüssigkeit,liquid,flytande
protokollieren,log,logga
gemeint,meant,menade
Quotient,quotient,kvot
Gebiss,teeth,tandprotes
Schale,shell,Skal
Hals,neck,Hals
Sauerstoff,oxygen,syre
Zucker,sugar,Socker
Tod,death,Död
ziemlich,pretty,ganska
Geschicklichkeit,skill,skicklighet
Frauen,women,Kvinnor
Saison,season,säsong
Lösung,solution,Lösning
Magnet,magnet,magnet
Silber,silver,Silver
danken,thank,tacka
Zweig,branch,gren
Spiel,match,Spel
Suffix,suffix,ändelse
insbesondere,especially,särskilt
Feige,fig,Feg
ängstlich,afraid,rädd
riesig,huge,gigantisk
Schwester,sister,Syster
Stahl,steel,Stål
diskutieren,discuss,diskutera
vorwärts,forward,fram
ähnlich,similar,liknande
führen,guide,leda
Erfahrung,experience,Uppleva
Partitur,score,göra
apfel,apple,äpple
gekauft,bought,köpt
geführt,led,ledde
Tonhöhe,pitch,tonhöjd
Mantel,coat,Täcka
Masse,mass,massa
Karte,card,Karta
Band,band,band
Seil,rope,Rep
Rutsch,slip,Glida
gewinnen,win,vinna
träumen,dream,dröm
Abend,evening,Kväll
Zustand,condition,Skick
Futtermittel,feed,Foder
Werkzeug,tool,Verktyg
gesamt,total,totalt
Basis,basic,bas
Geruch,smell,Odör
Tal,valley,dal
noch,nor,fortfarande
doppelt,double,dubbel
Sitz,seat,plats
fortsetzen,continue,fortsätta
Block,block,blockera
Tabelle,chart,Tabell
Hut,hat,hatt
verkaufen,sell,sälja
Erfolg,success,Framgång
Firma,company,företag
subtrahieren,subtract,subtrahera
Veranstaltung,event,Händelse
besondere,particular,särskild
viel,deal,mycket
schwimmen,swim,att simma
Begriff,term,Uttryck
Gegenteil,opposite,Motsatt
Frau,wife,Kvinna
Schuh,shoe,sko
Schulter,shoulder,axel
Verbreitung,spread,sprida
arrangieren,arrange,ordna
Lager,camp,Lager
erfinden,invent,uppfinna
Baumwolle,cotton,Bomull
geboren,born,född
bestimmen,determine,bestämma
Quart,quart,quart
neun,nine,nio
Lastwagen,truck,lastbil
Lärm,noise,Buller
Ebene,level,nivå
Chance,chance,chans
sammeln,gather,samla
Geschäft,shop,Företag
Stretch,stretch,Sträcka
werfen,throw,kasta
Glanz,shine,Glans
Immobilien,property,egendom
Spalte,column,Split
Molekül,molecule,molekyl
wählen,select,välja
falsch,wrong,felaktig
grau,gray,grå
Wiederholung,repeat,Upprepning
erfordern,require,behöva
breit,broad,bred
vorbereiten,prepare,förbereda
Salz,salt,Salt
Nase,nose,Näsa
mehreren,plural,flera
Zorn,anger,ilska
Anspruch,claim,Krav
Kontinent,continent,kontinent